,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,CAIC_Weather_Date,BC Zone,ElevTL,Elev,Temp,MxTp,MnTp,DewP,RH,Spd,Dir,Gst,Pcp1,Pcp24,PcpAc,Sno24,SWE24,SnoHt,SWE,storm,days_since_storm,numberObservations
0,0,0,1,1,2018-01-01,Aspen,>TL,3641.0,-4.75,-4.5,-10.0,-26.75,16.75,25.0,292.0,39.75,0.0,0.0,0.0,0.0,0.0,20.25,1.02,no,11,0
1,1,1,27,1,2018-01-02,Aspen,>TL,3641.0,-10.75,-4.0,-15.25,-37.5,10.0,11.5,169.5,25.5,0.0,0.0,0.0,0.0,0.0,20.2,1.02,no,12,0
2,2,2,53,1,2018-01-03,Aspen,>TL,3641.0,-2.75,-2.75,-10.75,-27.0,14.25,12.75,292.0,23.25,0.0,0.0,0.0,0.0,0.0,20.0,0.51,no,13,0
3,3,3,79,1,2018-01-04,Aspen,>TL,3641.0,-3.5,-1.0,-6.25,-36.5,6.25,8.0,291.75,13.5,0.0,0.0,0.0,0.0,0.0,20.0,0.51,no,14,0
4,4,4,105,1,2018-01-05,Aspen,>TL,3641.0,-2.25,-1.5,-5.75,-11.75,48.25,18.5,303.0,30.25,0.0,0.0,0.0,0.0,0.0,19.95,1.02,no,15,0
5,5,5,131,1,2018-01-06,Aspen,>TL,3641.0,-2.75,-1.5,-5.25,-10.75,55.25,12.5,247.75,31.25,0.0,0.0,0.0,0.0,0.0,19.8,0.76,no,16,0
6,6,6,157,1,2018-01-07,Aspen,>TL,3641.0,-8.5,-2.75,-10.0,-9.25,92.0,5.75,137.0,9.0,0.0,0.0225,0.1,5.324999999999998,0.0,29.575,1.27,yes,0,1
7,7,7,183,1,2018-01-08,Aspen,>TL,3641.0,1.0,1.0,-10.0,-16.75,25.75,19.0,217.5,33.25,0.0,0.0,0.03,0.0,0.0,27.2,0.91,no,1,0
8,8,8,209,1,2018-01-09,Aspen,>TL,3641.0,-1.5,2.5,-3.5,-7.25,65.0,21.25,241.75,51.0,0.0,0.0225,0.28,1.35,0.0,26.15,1.78,yes,0,0
9,9,9,235,1,2018-01-10,Aspen,>TL,3641.0,-3.75,-1.5,-5.75,-6.25,82.0,14.25,239.75,33.0,0.0,0.4225,0.03,0.55,0.0,23.25,2.29,yes,0,0
10,10,10,261,1,2018-01-11,Aspen,>TL,3641.0,-15.0,-3.75,-17.5,-17.25,85.5,11.5,317.25,19.25,0.0,0.975,0.03,15.45,0.03,38.925,1.52,yes,0,2
11,11,11,287,1,2018-01-12,Aspen,>TL,3641.0,-10.25,-9.25,-15.25,-11.75,90.5,41.5,305.5,65.0,0.0075,0.025,0.2,0.375,0.0,34.77500000000001,1.78,no,1,1
12,12,12,313,1,2018-01-13,Aspen,>TL,3641.0,-8.5,-8.0,-13.0,-14.75,64.25,13.25,177.5,23.5,0.0,0.0225,0.05,0.225,0.0,32.075,1.02,no,2,0
13,13,13,339,1,2018-01-14,Aspen,>TL,3641.0,-4.0,-4.0,-10.5,-22.75,22.5,22.75,301.0,31.25,0.0,0.0,0.08,0.0,0.0,30.774999999999995,1.27,no,3,0
14,14,14,365,1,2018-01-15,Aspen,>TL,3641.0,-7.5,-3.25,-9.25,-11.75,69.25,24.25,307.0,39.5,0.0,0.0,0.03,0.0,0.0,30.349999999999994,1.12,no,4,0
15,15,15,391,1,2018-01-16,Aspen,>TL,3641.0,-6.5,-5.75,-13.75,-34.75,9.25,5.75,183.25,10.0,0.0,0.0,0.0,0.0,0.1,29.05,1.02,no,5,0
